Query	Hit_Accession	Hit_Description
AIPGENE9517	sp|O57525|CP17A_RANDY	Steroid 17-alpha-hydroxylase/17,20 lyase OS=Rana dybowskii GN=CYP17A1 PE=2 SV=1
AIPGENE9518	sp|P53667|LIMK1_HUMAN	LIM domain kinase 1 OS=Homo sapiens GN=LIMK1 PE=1 SV=3
AIPGENE9519	sp|Q9UHC3|ASIC3_HUMAN	Acid-sensing ion channel 3 OS=Homo sapiens GN=ASIC3 PE=1 SV=2
AIPGENE9520	gi|156383590|ref|XP_001632916.1|	predicted protein [Nematostella vectensis] >gi|156219979|gb|EDO40853.1| predicted protein [Nematostella vectensis]
AIPGENE9521	sp|P41732|TSN7_HUMAN	Tetraspanin-7 OS=Homo sapiens GN=TSPAN7 PE=1 SV=2
AIPGENE9522	sp|Q708S3|ASI4B_DANRE	Acid-sensing ion channel 4 OS=Danio rerio GN=asic4 PE=2 SV=1
AIPGENE9523	sp|Q8UUZ1|MB212_DANRE	Protein mab-21-like 2 OS=Danio rerio GN=mab21l2 PE=2 SV=1
AIPGENE9524	sp|P9WP27|DAO_MYCTU	Probable D-amino-acid oxidase OS=Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv) GN=aao PE=3 SV=1
AIPGENE9525	sp|P24552|OXDA_FUSSO	D-amino-acid oxidase OS=Fusarium solani subsp. pisi PE=1 SV=1
AIPGENE9526	gi|443726641|gb|ELU13760.1|	hypothetical protein CAPTEDRAFT_190345 [Capitella teleta]
AIPGENE9527	sp|A0AUT1|TCHP_XENLA	Trichoplein keratin filament-binding protein OS=Xenopus laevis GN=tchp PE=2 SV=1
AIPGENE9528	sp|Q9QZR0|RNF25_MOUSE	E3 ubiquitin-protein ligase RNF25 OS=Mus musculus GN=Rnf25 PE=1 SV=2
AIPGENE9529	sp|Q5RET0|PLCD4_PONAB	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase delta-4 OS=Pongo abelii GN=PLCD4 PE=2 SV=1
AIPGENE9530	sp|Q4HX89|BTN1_GIBZE	Protein BTN1 OS=Gibberella zeae (strain PH-1 / ATCC MYA-4620 / FGSC 9075 / NRRL 31084) GN=BTN1 PE=3 SV=2
AIPGENE9531	sp|Q6DN14|MCTP1_HUMAN	Multiple C2 and transmembrane domain-containing protein 1 OS=Homo sapiens GN=MCTP1 PE=2 SV=2
AIPGENE9532	sp|Q7SC45|BTN1_NEUCR	Protein btn-1 OS=Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987) GN=cln3 PE=3 SV=2
AIPGENE9533	sp|Q4HX89|BTN1_GIBZE	Protein BTN1 OS=Gibberella zeae (strain PH-1 / ATCC MYA-4620 / FGSC 9075 / NRRL 31084) GN=BTN1 PE=3 SV=2
AIPGENE9534		
AIPGENE9535	sp|Q8NDA2|HMCN2_HUMAN	Hemicentin-2 OS=Homo sapiens GN=HMCN2 PE=2 SV=2
AIPGENE9536	sp|P59481|LMA2L_MOUSE	VIP36-like protein OS=Mus musculus GN=Lman2l PE=2 SV=1
AIPGENE9537		
AIPGENE9538	sp|Q09318|YQY2_CAEEL	Uncharacterized protein F36G3.2 OS=Caenorhabditis elegans GN=F36G3.2 PE=4 SV=1
AIPGENE9539		
AIPGENE9540	sp|Q9NTG1|PKDRE_HUMAN	Polycystic kidney disease and receptor for egg jelly-related protein OS=Homo sapiens GN=PKDREJ PE=2 SV=2
AIPGENE9541	sp|P19579|CAPA_BACAN	Capsule biosynthesis protein CapA OS=Bacillus anthracis GN=capA PE=2 SV=2
AIPGENE9542		
AIPGENE9543	sp|P68373|TBA1C_MOUSE	Tubulin alpha-1C chain OS=Mus musculus GN=Tuba1c PE=1 SV=1
AIPGENE9544	sp|Q09318|YQY2_CAEEL	Uncharacterized protein F36G3.2 OS=Caenorhabditis elegans GN=F36G3.2 PE=4 SV=1
AIPGENE9545	sp|Q9NTG1|PKDRE_HUMAN	Polycystic kidney disease and receptor for egg jelly-related protein OS=Homo sapiens GN=PKDREJ PE=2 SV=2
AIPGENE9546		
AIPGENE9547	tr|W4YGV6|W4YGV6_STRPU	Uncharacterized protein OS=Strongylocentrotus purpuratus PE=4 SV=1
AIPGENE9548	sp|Q99315|YG31B_YEAST	Transposon Ty3-G Gag-Pol polyprotein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TY3B-G PE=1 SV=3
AIPGENE9549	tr|I1EPE7|I1EPE7_AMPQE	Uncharacterized protein OS=Amphimedon queenslandica GN=LOC100641609 PE=4 SV=1
AIPGENE9550	sp|Q99M87|DNJA3_MOUSE	DnaJ homolog subfamily A member 3, mitochondrial OS=Mus musculus GN=Dnaja3 PE=1 SV=1
AIPGENE9551	sp|Q99M87|DNJA3_MOUSE	DnaJ homolog subfamily A member 3, mitochondrial OS=Mus musculus GN=Dnaja3 PE=1 SV=1
AIPGENE9552	sp|B0V207|F16A2_DANRE	FTS and Hook-interacting protein homolog OS=Danio rerio GN=fam160a2 PE=3 SV=1
AIPGENE9553	sp|Q6UX53|MET7B_HUMAN	Methyltransferase-like protein 7B OS=Homo sapiens GN=METTL7B PE=2 SV=2
AIPGENE9554	sp|P68373|TBA1C_MOUSE	Tubulin alpha-1C chain OS=Mus musculus GN=Tuba1c PE=1 SV=1
AIPGENE9555	gi|156363424|ref|XP_001626044.1|	predicted protein [Nematostella vectensis] >gi|156212905|gb|EDO33944.1| predicted protein [Nematostella vectensis]
AIPGENE9556		
AIPGENE9557		
AIPGENE9558	tr|F2IKA4|F2IKA4_FLUTR	PKD domain containing protein (Precursor) OS=Fluviicola taffensis (strain DSM 16823 / RW262 / RW262) GN=Fluta_2021 PE=4 SV=1
AIPGENE9559	sp|Q60HH8|AL3A2_MACFA	Fatty aldehyde dehydrogenase OS=Macaca fascicularis GN=ALDH3A2 PE=2 SV=1
AIPGENE9560	tr|W4Y0U5|W4Y0U5_STRPU	Uncharacterized protein OS=Strongylocentrotus purpuratus GN=Sp-SnsL PE=4 SV=1
AIPGENE9561	sp|A6ZM04|PIF1_YEAS7	ATP-dependent DNA helicase PIF1 OS=Saccharomyces cerevisiae (strain YJM789) GN=PIF1 PE=3 SV=1
AIPGENE9562	tr|W4YR48|W4YR48_STRPU	Uncharacterized protein OS=Strongylocentrotus purpuratus GN=Sp-Rt11 PE=4 SV=1
AIPGENE9563	tr|A7SIK6|A7SIK6_NEMVE	Predicted protein OS=Nematostella vectensis GN=v1g212821 PE=4 SV=1
AIPGENE9564		
AIPGENE9565	tr|W4ZFJ0|W4ZFJ0_STRPU	Uncharacterized protein OS=Strongylocentrotus purpuratus GN=Sp-Endrvt10 PE=4 SV=1
AIPGENE9566	tr|A7SXQ1|A7SXQ1_NEMVE	Predicted protein OS=Nematostella vectensis GN=v1g247996 PE=4 SV=1
AIPGENE9567	gi|156348593|ref|XP_001621906.1|	predicted protein [Nematostella vectensis] >gi|156208246|gb|EDO29806.1| predicted protein [Nematostella vectensis]
AIPGENE9568	tr|A7RIS1|A7RIS1_NEMVE	Predicted protein OS=Nematostella vectensis GN=v1g238599 PE=4 SV=1
AIPGENE9569	sp|Q9NBX4|RTXE_DROME	Probable RNA-directed DNA polymerase from transposon X-element OS=Drosophila melanogaster GN=X-element\ORF2 PE=3 SV=1
AIPGENE9570	sp|Q14202|ZMYM3_HUMAN	Zinc finger MYM-type protein 3 OS=Homo sapiens GN=ZMYM3 PE=1 SV=2
AIPGENE9571	tr|W4X9I5|W4X9I5_STRPU	Uncharacterized protein (Fragment) OS=Strongylocentrotus purpuratus GN=Sp-ErtL PE=4 SV=1
AIPGENE9572	tr|A7RR56|A7RR56_NEMVE	Predicted protein OS=Nematostella vectensis GN=v1g232141 PE=4 SV=1
AIPGENE9573		
AIPGENE9574	sp|Q20191|NAS13_CAEEL	Zinc metalloproteinase nas-13 OS=Caenorhabditis elegans GN=nas-13 PE=2 SV=5
AIPGENE9575	tr|H2N2G0|H2N2G0_ORYLA	Uncharacterized protein (Fragment) OS=Oryzias latipes PE=4 SV=1
AIPGENE9576	tr|W4YK08|W4YK08_STRPU	Uncharacterized protein OS=Strongylocentrotus purpuratus GN=Sp-Polyp PE=4 SV=1
AIPGENE9577	tr|X1WSD8|X1WSD8_ACYPI	Uncharacterized protein OS=Acyrthosiphon pisum PE=4 SV=1
AIPGENE9578	tr|I1EC61|I1EC61_AMPQE	Uncharacterized protein OS=Amphimedon queenslandica PE=4 SV=1
AIPGENE9579	sp|Q9CUX1|P52K_MOUSE	52 kDa repressor of the inhibitor of the protein kinase OS=Mus musculus GN=Prkrir PE=2 SV=2
AIPGENE9580	tr|E5SXS4|E5SXS4_TRISP	Pao retrotransposon peptidase superfamily OS=Trichinella spiralis GN=Tsp_09930 PE=4 SV=1
AIPGENE9581	sp|Q9Y2H6|FND3A_HUMAN	Fibronectin type-III domain-containing protein 3A OS=Homo sapiens GN=FNDC3A PE=1 SV=4
AIPGENE9582	gi|156357682|ref|XP_001624343.1|	predicted protein [Nematostella vectensis] >gi|156211115|gb|EDO32243.1| predicted protein [Nematostella vectensis]
AIPGENE9583		
AIPGENE9584	sp|P51464|ARLY_LITCT	Argininosuccinate lyase OS=Lithobates catesbeiana GN=ASL PE=3 SV=1
AIPGENE9585		
AIPGENE9586		
AIPGENE9587	gi|632137675|gb|KDA54433.1|	hypothetical protein EG19_12010 [Thermoanaerobaculum aquaticum]
AIPGENE9588	sp|Q09575|YRD6_CAEEL	Uncharacterized protein K02A2.6 OS=Caenorhabditis elegans GN=K02A2.6 PE=4 SV=1
AIPGENE9589	sp|O60678|ANM3_HUMAN	Protein arginine N-methyltransferase 3 OS=Homo sapiens GN=PRMT3 PE=1 SV=3
AIPGENE9590	sp|Q5ZMD2|ANKY2_CHICK	Ankyrin repeat and MYND domain-containing protein 2 OS=Gallus gallus GN=ANKMY2 PE=2 SV=1
AIPGENE9591	gi|156386202|ref|XP_001633802.1|	predicted protein [Nematostella vectensis] >gi|156220877|gb|EDO41739.1| predicted protein [Nematostella vectensis]
AIPGENE9592	sp|Q09353|SENP_CAEEL	Sentrin-specific protease OS=Caenorhabditis elegans GN=ulp-1 PE=2 SV=3
AIPGENE9593	tr|W4XND7|W4XND7_STRPU	Uncharacterized protein OS=Strongylocentrotus purpuratus GN=Sp-PolppL_40 PE=4 SV=1
AIPGENE9594	tr|F1R1E7|F1R1E7_DANRE	Uncharacterized protein (Fragment) OS=Danio rerio GN=si:ch211-227p7.1 PE=4 SV=1
AIPGENE9595	tr|I1EXI7|I1EXI7_AMPQE	Uncharacterized protein OS=Amphimedon queenslandica PE=4 SV=1
AIPGENE9596	tr|A7RR56|A7RR56_NEMVE	Predicted protein OS=Nematostella vectensis GN=v1g232141 PE=4 SV=1
AIPGENE9597	tr|I1EXI7|I1EXI7_AMPQE	Uncharacterized protein OS=Amphimedon queenslandica PE=4 SV=1
AIPGENE9598	tr|A7STN6|A7STN6_NEMVE	Predicted protein OS=Nematostella vectensis GN=v1g217332 PE=4 SV=1
AIPGENE9599	sp|P11717|MPRI_HUMAN	Cation-independent mannose-6-phosphate receptor OS=Homo sapiens GN=IGF2R PE=1 SV=3
AIPGENE9600	tr|A7RKI5|A7RKI5_NEMVE	Predicted protein OS=Nematostella vectensis GN=v1g198436 PE=4 SV=1
AIPGENE9601	sp|A1KZ92|PXDNL_HUMAN	Peroxidasin-like protein OS=Homo sapiens GN=PXDNL PE=1 SV=3
AIPGENE9602	sp|Q96RW7|HMCN1_HUMAN	Hemicentin-1 OS=Homo sapiens GN=HMCN1 PE=1 SV=2
AIPGENE9603	sp|Q7Z407|CSMD3_HUMAN	CUB and sushi domain-containing protein 3 OS=Homo sapiens GN=CSMD3 PE=2 SV=3
AIPGENE9604	sp|Q96PZ7|CSMD1_HUMAN	CUB and sushi domain-containing protein 1 OS=Homo sapiens GN=CSMD1 PE=1 SV=2
AIPGENE9605	sp|Q8MIQ9|P_PIG	P protein OS=Sus scrofa GN=Oca2 PE=2 SV=3
AIPGENE9606		
AIPGENE9607	sp|Q9QZN3|FBX8_MOUSE	F-box only protein 8 OS=Mus musculus GN=Fbxo8 PE=2 SV=2
AIPGENE9608	sp|Q3UGF1|WDR19_MOUSE	WD repeat-containing protein 19 OS=Mus musculus GN=Wdr19 PE=1 SV=1
AIPGENE9609		
AIPGENE9610	sp|Q2M3R5|S35G1_HUMAN	Solute carrier family 35 member G1 OS=Homo sapiens GN=SLC35G1 PE=2 SV=1
AIPGENE9611		
AIPGENE9612	sp|Q9WVI4|GCYA2_RAT	Guanylate cyclase soluble subunit alpha-2 OS=Rattus norvegicus GN=Gucy1a2 PE=1 SV=2
AIPGENE9613	sp|Q9WVI4|GCYA2_RAT	Guanylate cyclase soluble subunit alpha-2 OS=Rattus norvegicus GN=Gucy1a2 PE=1 SV=2
AIPGENE9614		
AIPGENE9615	sp|P16068|GCYB1_BOVIN	Guanylate cyclase soluble subunit beta-1 OS=Bos taurus GN=GUCY1B1 PE=1 SV=1
AIPGENE9616	sp|P16068|GCYB1_BOVIN	Guanylate cyclase soluble subunit beta-1 OS=Bos taurus GN=GUCY1B1 PE=1 SV=1
AIPGENE9617	sp|Q9Y5X5|NPFF2_HUMAN	Neuropeptide FF receptor 2 OS=Homo sapiens GN=NPFFR2 PE=1 SV=2
AIPGENE9618	sp|Q19317|NBEA_CAEEL	Putative neurobeachin homolog OS=Caenorhabditis elegans GN=sel-2 PE=2 SV=3
AIPGENE9619		
AIPGENE9620	sp|Q9P241|AT10D_HUMAN	Probable phospholipid-transporting ATPase VD OS=Homo sapiens GN=ATP10D PE=2 SV=3
AIPGENE9621		
AIPGENE9622	sp|Q60603|KCNH1_MOUSE	Potassium voltage-gated channel subfamily H member 1 OS=Mus musculus GN=Kcnh1 PE=1 SV=1
AIPGENE9623	sp|P50851|LRBA_HUMAN	Lipopolysaccharide-responsive and beige-like anchor protein OS=Homo sapiens GN=LRBA PE=1 SV=4
AIPGENE9624		
AIPGENE9625	tr|C3XZM1|C3XZM1_BRAFL	Putative uncharacterized protein OS=Branchiostoma floridae GN=BRAFLDRAFT_65699 PE=3 SV=1
AIPGENE9626	sp|Q8BY79|S35G1_MOUSE	Solute carrier family 35 member G1 OS=Mus musculus GN=Slc35g1 PE=2 SV=1
AIPGENE9627	sp|Q96P65|QRFPR_HUMAN	Pyroglutamylated RFamide peptide receptor OS=Homo sapiens GN=QRFPR PE=1 SV=2
AIPGENE9628	gi|156367523|ref|XP_001627466.1|	predicted protein [Nematostella vectensis] >gi|156214376|gb|EDO35366.1| predicted protein [Nematostella vectensis]
AIPGENE9629	gi|548371224|ref|XP_005732646.1|	PREDICTED: histone-lysine N-methyltransferase 2D-like [Pundamilia nyererei]
AIPGENE9630	sp|Q8N357|S35F6_HUMAN	Solute carrier family 35 member F6 OS=Homo sapiens GN=SLC35F6 PE=1 SV=1
AIPGENE9631	sp|Q9ESE1|LRBA_MOUSE	Lipopolysaccharide-responsive and beige-like anchor protein OS=Mus musculus GN=Lrba PE=1 SV=1
AIPGENE9632	sp|Q6PCB5|RSBNL_HUMAN	Round spermatid basic protein 1-like protein OS=Homo sapiens GN=RSBN1L PE=1 SV=2
AIPGENE9633		
AIPGENE9634		
AIPGENE9635	sp|P16068|GCYB1_BOVIN	Guanylate cyclase soluble subunit beta-1 OS=Bos taurus GN=GUCY1B1 PE=1 SV=1
AIPGENE9636	sp|Q80Z25|OFD1_MOUSE	Oral-facial-digital syndrome 1 protein homolog OS=Mus musculus GN=Ofd1 PE=1 SV=1
AIPGENE9637	sp|P57756|FCN2_RAT	Ficolin-2 OS=Rattus norvegicus GN=Fcn2 PE=2 SV=1
AIPGENE9638		
AIPGENE9639		
AIPGENE9640	sp|P63016|PAX6_RAT	Paired box protein Pax-6 OS=Rattus norvegicus GN=Pax6 PE=2 SV=1
AIPGENE9641		
AIPGENE9642	tr|D7FJQ0|D7FJQ0_ECTSI	Putative uncharacterized protein OS=Ectocarpus siliculosus GN=Esi_0136_0015 PE=4 SV=1
AIPGENE9643	sp|P20595|GCYB1_RAT	Guanylate cyclase soluble subunit beta-1 OS=Rattus norvegicus GN=Gucy1b3 PE=1 SV=2
AIPGENE9644	sp|Q0V8L6|PLD2_BOVIN	Phospholipase D2 OS=Bos taurus GN=PLD2 PE=2 SV=1
AIPGENE9645		
AIPGENE9646	sp|Q6NZL8|SCUB1_MOUSE	Signal peptide, CUB and EGF-like domain-containing protein 1 OS=Mus musculus GN=Scube1 PE=2 SV=2
AIPGENE9647		
AIPGENE9648	sp|Q3B8H4|RBTN1_XENLA	Rhombotin-1 OS=Xenopus laevis GN=lmo1 PE=2 SV=1
AIPGENE9649	sp|Q3UGF1|WDR19_MOUSE	WD repeat-containing protein 19 OS=Mus musculus GN=Wdr19 PE=1 SV=1
AIPGENE9650	sp|Q4LDE5|SVEP1_HUMAN	Sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1 OS=Homo sapiens GN=SVEP1 PE=1 SV=3
AIPGENE9651	gi|156393796|ref|XP_001636513.1|	predicted protein [Nematostella vectensis] >gi|156223617|gb|EDO44450.1| predicted protein [Nematostella vectensis]
AIPGENE9652		
AIPGENE9653	sp|Q60603|KCNH1_MOUSE	Potassium voltage-gated channel subfamily H member 1 OS=Mus musculus GN=Kcnh1 PE=1 SV=1
AIPGENE9654	sp|P37889|FBLN2_MOUSE	Fibulin-2 OS=Mus musculus GN=Fbln2 PE=1 SV=2
AIPGENE9655		
AIPGENE9656	sp|Q3UGF1|WDR19_MOUSE	WD repeat-containing protein 19 OS=Mus musculus GN=Wdr19 PE=1 SV=1
AIPGENE9657	tr|A7S9Y9|A7S9Y9_NEMVE	Predicted protein OS=Nematostella vectensis GN=v1g209044 PE=3 SV=1
AIPGENE9658	sp|Q06194|FA8_MOUSE	Coagulation factor VIII OS=Mus musculus GN=F8 PE=2 SV=2
AIPGENE9659		
AIPGENE9660	sp|Q9WVM6|TLL2_MOUSE	Tolloid-like protein 2 OS=Mus musculus GN=Tll2 PE=1 SV=1
AIPGENE9661	sp|A5A4K9|GHSR_RABIT	Growth hormone secretagogue receptor type 1 OS=Oryctolagus cuniculus GN=GHSR PE=2 SV=1
AIPGENE9662	sp|Q7T163|KDIS_DANRE	Kinase D-interacting substrate of 220 kDa OS=Danio rerio GN=kidins220 PE=2 SV=2
AIPGENE9663	sp|P0C6B8|SVEP1_RAT	Sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1 OS=Rattus norvegicus GN=Svep1 PE=1 SV=1
AIPGENE9664	sp|P0C6B8|SVEP1_RAT	Sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1 OS=Rattus norvegicus GN=Svep1 PE=1 SV=1
AIPGENE9665	sp|Q6PKG0|LARP1_HUMAN	La-related protein 1 OS=Homo sapiens GN=LARP1 PE=1 SV=2
AIPGENE9666	sp|Q8NEZ3|WDR19_HUMAN	WD repeat-containing protein 19 OS=Homo sapiens GN=WDR19 PE=1 SV=2
AIPGENE9667	gi|156375027|ref|XP_001629884.1|	predicted protein [Nematostella vectensis] >gi|156216894|gb|EDO37821.1| predicted protein [Nematostella vectensis]
AIPGENE9668	gi|156375027|ref|XP_001629884.1|	predicted protein [Nematostella vectensis] >gi|156216894|gb|EDO37821.1| predicted protein [Nematostella vectensis]
AIPGENE9669	sp|Q9W4E2|NBEA_DROME	Neurobeachin OS=Drosophila melanogaster GN=rg PE=1 SV=3
AIPGENE9670		
AIPGENE9671	sp|Q8BUR4|DOCK1_MOUSE	Dedicator of cytokinesis protein 1 OS=Mus musculus GN=Dock1 PE=1 SV=3
AIPGENE9672	sp|Q8BUR4|DOCK1_MOUSE	Dedicator of cytokinesis protein 1 OS=Mus musculus GN=Dock1 PE=1 SV=3
AIPGENE9673	sp|P23142|FBLN1_HUMAN	Fibulin-1 OS=Homo sapiens GN=FBLN1 PE=1 SV=4
AIPGENE9674	sp|Q9GV72|CTX1_CARRA	Toxin CrTX-A OS=Carybdea rastonii PE=1 SV=1
AIPGENE9675		
AIPGENE9676	tr|A7S3D8|A7S3D8_NEMVE	Predicted protein OS=Nematostella vectensis GN=v1g242578 PE=4 SV=1
AIPGENE9677		
AIPGENE9678	sp|A2AJ76|HMCN2_MOUSE	Hemicentin-2 OS=Mus musculus GN=Hmcn2 PE=2 SV=1
AIPGENE9679		
AIPGENE9680		
AIPGENE9681	sp|Q3UGF1|WDR19_MOUSE	WD repeat-containing protein 19 OS=Mus musculus GN=Wdr19 PE=1 SV=1
AIPGENE9682		
AIPGENE9683		
AIPGENE9684		
AIPGENE9685	sp|P63255|CRIP1_RAT	Cysteine-rich protein 1 OS=Rattus norvegicus GN=Crip1 PE=1 SV=2
AIPGENE9686	sp|Q95SX7|RTBS_DROME	Probable RNA-directed DNA polymerase from transposon BS OS=Drosophila melanogaster GN=RTase PE=2 SV=1
AIPGENE9687	sp|P09759|EPHB1_RAT	Ephrin type-B receptor 1 OS=Rattus norvegicus GN=Ephb1 PE=1 SV=2
AIPGENE9688	sp|Q15375|EPHA7_HUMAN	Ephrin type-A receptor 7 OS=Homo sapiens GN=EPHA7 PE=1 SV=3
AIPGENE9689		
AIPGENE9690		
AIPGENE9691	tr|C3ZHL4|C3ZHL4_BRAFL	Putative uncharacterized protein OS=Branchiostoma floridae GN=BRAFLDRAFT_122384 PE=4 SV=1
AIPGENE9692		
AIPGENE9693	sp|Q8VE42|ANR49_MOUSE	Ankyrin repeat domain-containing protein 49 OS=Mus musculus GN=Ankrd49 PE=2 SV=1
AIPGENE9694		
AIPGENE9695	sp|Q0IIY2|WSCD1_XENTR	WSC domain-containing protein 1 OS=Xenopus tropicalis GN=wscd1 PE=2 SV=1
AIPGENE9696	sp|Q91WU4|TMCO4_MOUSE	Transmembrane and coiled-coil domain-containing protein 4 OS=Mus musculus GN=Tmco4 PE=2 SV=2
AIPGENE9697	sp|Q5TZA2|CROCC_HUMAN	Rootletin OS=Homo sapiens GN=CROCC PE=1 SV=1
AIPGENE9698		
AIPGENE9699	tr|A7RTB2|A7RTB2_NEMVE	Predicted protein OS=Nematostella vectensis GN=v1g201833 PE=4 SV=1
AIPGENE9700	sp|P29317|EPHA2_HUMAN	Ephrin type-A receptor 2 OS=Homo sapiens GN=EPHA2 PE=1 SV=2
AIPGENE9701	sp|B2RPY5|GP161_MOUSE	G-protein coupled receptor 161 OS=Mus musculus GN=Gpr161 PE=1 SV=1
AIPGENE9702		
AIPGENE9703		
AIPGENE9704	sp|P00767|CTRB_BOVIN	Chymotrypsinogen B OS=Bos taurus PE=1 SV=1
AIPGENE9705		
AIPGENE9706		
AIPGENE9707	sp|Q7Z410|TMPS9_HUMAN	Transmembrane protease serine 9 OS=Homo sapiens GN=TMPRSS9 PE=1 SV=2
AIPGENE9708	sp|O60344|ECE2_HUMAN	Endothelin-converting enzyme 2 OS=Homo sapiens GN=ECE2 PE=1 SV=4
AIPGENE9709	tr|W8B4W2|W8B4W2_CERCA	Retrovirus-related Pol polyprotein from type-1 retrotransposable element R2 OS=Ceratitis capitata GN=PO21 PE=2 SV=1
AIPGENE9710	sp|Q3T134|SPCS1_BOVIN	Signal peptidase complex subunit 1 OS=Bos taurus GN=SPCS1 PE=3 SV=1
AIPGENE9711	sp|Q9H0C1|ZMY12_HUMAN	Zinc finger MYND domain-containing protein 12 OS=Homo sapiens GN=ZMYND12 PE=2 SV=3
AIPGENE9712	sp|Q969R2|OSBP2_HUMAN	Oxysterol-binding protein 2 OS=Homo sapiens GN=OSBP2 PE=1 SV=2
AIPGENE9713	sp|Q7ZUC2|CAB45_DANRE	45 kDa calcium-binding protein OS=Danio rerio GN=sdf4 PE=2 SV=1
AIPGENE9714	gi|156360740|ref|XP_001625183.1|	predicted protein [Nematostella vectensis] >gi|156212003|gb|EDO33083.1| predicted protein [Nematostella vectensis]
AIPGENE9715	sp|Q9US03|KLP2_SCHPO	Kinesin-like protein 2 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) GN=klp2 PE=3 SV=1
AIPGENE9716	tr|B3KZY4|B3KZY4_PLAKH	Pre-mRNA splicing factor, putative OS=Plasmodium knowlesi (strain H) GN=PKH_030920 PE=4 SV=1
AIPGENE9717	tr|Q2VYC5|Q2VYC5_HYDVU	Chordin-like protein OS=Hydra vulgaris PE=2 SV=1
AIPGENE9718	sp|Q8N371|KDM8_HUMAN	Lysine-specific demethylase 8 OS=Homo sapiens GN=KDM8 PE=1 SV=1
AIPGENE9719		
AIPGENE9720		
AIPGENE9721	sp|Q9H7F0|AT133_HUMAN	Probable cation-transporting ATPase 13A3 OS=Homo sapiens GN=ATP13A3 PE=1 SV=4
AIPGENE9722	sp|Q5XF89|AT133_MOUSE	Probable cation-transporting ATPase 13A3 OS=Mus musculus GN=Atp13a3 PE=1 SV=1
AIPGENE9723	sp|F4JGP4|ATK5_ARATH	Kinesin-5 OS=Arabidopsis thaliana GN=ATK5 PE=2 SV=1
AIPGENE9724	sp|Q80TQ5|PKHM2_MOUSE	Pleckstrin homology domain-containing family M member 2 OS=Mus musculus GN=Plekhm2 PE=2 SV=2
AIPGENE9725	sp|Q8TEA1|NSUN6_HUMAN	Putative methyltransferase NSUN6 OS=Homo sapiens GN=NSUN6 PE=1 SV=1
AIPGENE9726		
AIPGENE9727	sp|Q9P2S5|WRP73_HUMAN	WD repeat-containing protein WRAP73 OS=Homo sapiens GN=WRAP73 PE=2 SV=1
AIPGENE9728	sp|Q495T6|MMEL1_HUMAN	Membrane metallo-endopeptidase-like 1 OS=Homo sapiens GN=MMEL1 PE=1 SV=2
AIPGENE9729	gi|156349412|ref|XP_001622047.1|	predicted protein [Nematostella vectensis] >gi|156208451|gb|EDO29947.1| predicted protein [Nematostella vectensis]
AIPGENE9730	sp|Q7TS68|NSUN6_MOUSE	Putative methyltransferase NSUN6 OS=Mus musculus GN=Nsun6 PE=2 SV=2
AIPGENE9731	sp|Q2L4Q9|PRS53_HUMAN	Serine protease 53 OS=Homo sapiens GN=PRSS53 PE=2 SV=1
AIPGENE9732	sp|Q6PF55|AF1L2_XENLA	Actin filament-associated protein 1-like 2 OS=Xenopus laevis GN=afap1l2 PE=2 SV=1
AIPGENE9733	sp|P42892|ECE1_HUMAN	Endothelin-converting enzyme 1 OS=Homo sapiens GN=ECE1 PE=1 SV=2
AIPGENE9734	sp|Q5U3A7|OPA1_DANRE	Dynamin-like 120 kDa protein, mitochondrial OS=Danio rerio GN=opa1 PE=2 SV=1
AIPGENE9735	sp|Q9JLI3|MMEL1_MOUSE	Membrane metallo-endopeptidase-like 1 OS=Mus musculus GN=Mmel1 PE=1 SV=1
AIPGENE9736	sp|Q64077|NK2R_CAVPO	Substance-K receptor OS=Cavia porcellus GN=TACR2 PE=2 SV=1
AIPGENE9737	sp|Q96P65|QRFPR_HUMAN	Pyroglutamylated RFamide peptide receptor OS=Homo sapiens GN=QRFPR PE=1 SV=2
AIPGENE9738	sp|P46198|IF2M_BOVIN	Translation initiation factor IF-2, mitochondrial OS=Bos taurus GN=MTIF2 PE=1 SV=1
AIPGENE9739	sp|Q96P65|QRFPR_HUMAN	Pyroglutamylated RFamide peptide receptor OS=Homo sapiens GN=QRFPR PE=1 SV=2
AIPGENE9740		
AIPGENE9741	gi|156395222|ref|XP_001637010.1|	predicted protein [Nematostella vectensis] >gi|156224119|gb|EDO44947.1| predicted protein [Nematostella vectensis]
AIPGENE9742	sp|O60825|F262_HUMAN	6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 2 OS=Homo sapiens GN=PFKFB2 PE=1 SV=2
AIPGENE9743	sp|P62912|RL32_RAT	60S ribosomal protein L32 OS=Rattus norvegicus GN=Rpl32 PE=1 SV=2
AIPGENE9744		
